Year,Place,Song,Author
2021,Rotterdam,Zitti e buoni,Maneskin
2012,Baku,Euphoria,Loreen
2013,Malmo,Only Teardrops,Emmelie de Forest
2014,Copenhagen,Rise Like a Phoenix,Conchita Wurst
2015,Vienna,Heroes,Mans Zelmerlow
